Latitude,Longitude,Elevation
5056N,00036E,82
5054N,00019E,54
5047N,00018E,3
5057N,00056E,3
4943N,00212W,71
4926N,00236W,102
4913N,00212W,84
4912N,00206W,54
5425N,00805W,50
5426N,00803W,145
5424N,00739W,47
5440N,00719W,113
5501N,00714W,73
5504N,00701W,2
5503N,00709W,9
5443N,00649W,225
5443N,00631W,17
5512N,00640W,18
5452N,00627W,64
5351N,00606W,15
5511N,00610W,156
5439N,00613W,81
5448N,00610W,38
5414N,00630W,161
5436N,00553W,5
5440N,00535W,34
5414N,00537W,18
5440N,00540W,11
5451N,00548W,3
5148N,00815W,41
5156N,01015W,14
5151N,00829W,162
5215N,00620W,25
5240N,00716W,64
5242N,00855W,20
5317N,00901W,21
5305N,00753W,72
5318N,00626W,93
5326N,00615W,85
5343N,00859W,69
5332N,00722W,104
5411N,00714W,89
5414N,01000W,10
5522N,00720W,25
6454N,02356W,9
6610N,02315W,22
6552N,02336W,30
6505N,02244W,8
6349N,02243W,26
6358N,02236W,54
6359N,02236W,52
6625N,02223W,27
6408N,02154W,61
6440N,02136W,46
6352N,02109W,5
6517N,02106W,8
6540N,02018W,22
6324N,02017W,124
6542N,01937W,46
6452N,01934W,642
6325N,01911W,20
6330N,01823W,18
6541N,01805W,27
6347N,01804W,38
6632N,01801W,16
6549N,01712W,42
6538N,01607W,386
6627N,01557W,10
6615N,01516W,17
6415N,01511W,10
6545N,01450W,48
6554N,01439W,20
6517N,01422W,38
6502N,01414W,25
6516N,01335W,11
7217N,03848W,3195
7235N,03846W,3213
6629N,04617W,2330
6511N,04350W,2647
7630N,06900W,20
7632N,06830W,59
7638N,07300W,11
8144N,05900W,105
7402N,05749W,40
7247N,05610W,63
7041N,05437W,27
6845N,05130W,76
6920N,05335W,24
6842N,05245W,47
6915N,05104W,25
6747N,05358W,12
6655N,05340W,9
6700N,05048W,53
6638N,05252W,1453
6525N,05300W,24
6501N,05233W,14
6410N,05145W,70
6234N,05025W,22
6412N,05141W,86
6200N,04943W,16
6113N,04807W,29
6111N,04827W,137
6046N,04825W,33
6111N,04525W,26
6043N,04603W,34
6048N,04706W,13
6100N,04600W,30
6032N,04545W,20
5959N,04512W,16
6015N,04530W,23
8338N,03322W,4
8209N,02955W,4
8136N,01640W,36
8136N,01641W,34
8038N,01343W,10
7646N,01840W,12
7418N,02013W,44
7215N,02420W,10
7029N,02158W,66
7025N,02158W,41
7045N,02240W,10
6747N,03217W,23
6536N,03738W,52
6534N,03707W,34
6417N,04018W,85
6225N,04215W,10
6156N,04204W,39
6002N,04307W,19
6124N,00640W,95
6204N,00716W,85
6201N,00646W,39
5704N,00842E,7
5706N,00952E,3
5730N,01014E,28
5746N,01039E,7
5726N,01031E,84
5713N,01040E,5
5643N,01007E,2
5642N,00813E,3
5657N,00915E,6
5624N,00827E,15
5600N,00808E,3
5617N,00908E,52
5633N,00910E,21
5559N,00821E,5
5632N,00937E,60
5618N,01037E,25
5627N,01058E,8
5609N,01013E,57
5642N,01133E,8
5643N,01131E,3
5531N,00833E,29
5534N,00805E,22
5530N,00824E,11
5511N,00834E,3
5505N,00834E,5
5543N,00913E,74
5544N,00909E,66
5526N,00920E,45
5514N,00916E,40
5518N,00948E,2
5458N,00948E,23
5451N,00959E,14
5528N,01020E,17
5501N,01034E,6
5546N,01033E,5
5449N,01108E,-1
5450N,01058E,6
5442N,01127E,5
5505N,01147E,4
5510N,01108E,2
5523N,01141E,38
5543N,01143E,12
5545N,01052E,11
5546N,01219E,31
5559N,01152E,5
5612N,01143E,8
5607N,01221E,35
5600N,01117E,4
5535N,01208E,44
5517N,01227E,40
5457N,01233E,15
5538N,01240E,5
5546N,01232E,40
5532N,01243E,2
5541N,01233E,9
5504N,01445E,16
5519N,01511E,15
5518N,01447E,11
5202N,00421E,1
5211N,00425E,2
5305N,00445E,3
5228N,00435E,19
5255N,00447E,14
5451N,00444E,49
5218N,00446E,-2
5315N,00455E,5
5239N,00503E,-1
5322N,00513E,27
5206N,00511E,4
5208N,00516E,13
5253N,00521E,3
5232N,00526E,2
5227N,00523E,-3
5313N,00545E,2
5242N,00553E,-3
5204N,00553E,52
5342N,00612E,0
5226N,00616E,5
5244N,00631E,14
5308N,00635E,4
5204N,00639E,29
5312N,00709E,0
5216N,00654E,36
5127N,00336E,10
5132N,00354E,2
5132N,00355E,1
5159N,00406E,13
5127N,00420E,17
5153N,00419E,4
5157N,00427E,-4
5134N,00456E,13
5152N,00509E,1
5127N,00525E,22
5139N,00542E,21
5048N,00543E,49
5055N,00547E,116
5130N,00612E,19
5105N,00239E,9
5124N,00226E,7
5112N,00252E,5
5114N,00255E,15
5049N,00312E,25
5056N,00344E,60
5111N,00349E,13
5034N,00350E,63
5048N,00421E,104
5054N,00430E,55
5028N,00427E,192
5112N,00428E,14
5054N,00432E,58
5054N,00430E,55
5120N,00430E,23
5014N,00439E,299
5045N,00446E,127
5125N,00500E,60
5047N,00457E,81
5100N,00504E,54
5125N,00500E,60
4954N,00513E,461
5048N,00512E,75
5016N,00515E,244
5002N,00524E,557
4954N,00513E,461
5039N,00527E,178
5110N,00528E,64
4936N,00529E,252
5056N,00530E,63
5029N,00555E,482
5030N,00606E,695
5028N,00611E,570
5003N,00601E,454
4939N,00608E,235
4937N,00613E,379
4700N,00657E,487
4649N,00657E,491
4705N,00648E,1019
4726N,00657E,597
4645N,00716E,1041
4655N,00730E,505
4711N,00725E,430
4700N,00756E,1406
4715N,00747E,416
4649N,00810E,489
4659N,00823E,442
4723N,00834E,569
4729N,00824E,866
4729N,00832E,432
4652N,00838E,451
4715N,00921E,2500
4726N,00924E,790
4708N,00906E,423
4722N,00857E,1144
4728N,00936E,390
4615N,00608E,416
4626N,00606E,1675
4633N,00637E,615
4620N,00655E,381
4552N,00710E,2460
4613N,00720E,481
4602N,00719E,1500
4619N,00729E,1508
4624N,00737E,2342
4633N,00759E,3576
4646N,00739E,630
4640N,00753E,580
4615N,00802E,2008
4624N,00808E,1000
4635N,00820E,2000
4639N,00837E,2284
4631N,00841E,1016
4628N,00856E,552
4612N,00848E,1648
4610N,00847E,380
4610N,00853E,198
4600N,00858E,276
4551N,00856E,353
4642N,00851E,1180
4628N,00911E,1638
4652N,00932E,556
4636N,00936E,1200
4623N,00940E,1420
4630N,00951E,1850
4625N,00949E,3299
4632N,00953E,1706
4621N,01004E,1078
4708N,00932E,463
5044N,00136E,74
5031N,00137E,14
5008N,00150E,77
5058N,00157E,3
5103N,00220E,23
5034N,00306E,52
5013N,00309E,77
5008N,00316E,110
4942N,00116W,7
4943N,00156W,9
4939N,00130W,130
4939N,00128W,138
4911N,00027W,67
4931N,00004E,103
4921N,00046W,73
4950N,00039E,83
4922N,00148W,65
4923N,00111E,157
4901N,00113E,146
4931N,00130W,61
4956N,00106E,34
4928N,00207E,111
4915N,00231E,88
4915N,00231E,88
4949N,00312E,101
4918N,00402E,99
4909N,00432E,199
4947N,00438E,150
4914N,00540E,234
4905N,00608E,191
4859N,00615E,264
4828N,00508W,32
4802N,00444W,86
4831N,00409W,115
4841N,00420W,22
4817N,00426W,82
4827N,00425W,103
4845N,00401W,37
4845N,00328W,89
4832N,00251W,136
4851N,00300W,36
4835N,00204W,59
4843N,00151W,41
4804N,00144W,37
4850N,00137W,42
4802N,00044W,101
4827N,00007E,141
4803N,00123E,127
4828N,00131E,156
4846N,00201E,168
4846N,00106E,161
4846N,00212E,179
4836N,00220E,85
4844N,00224E,96
4858N,00227E,65
4850N,00220E,75
4837N,00241E,92
4849N,00220E,77
4901N,00232E,109
4836N,00349W,86
4847N,00411E,179
4820N,00401E,118
4838N,00454E,140
4845N,00524E,316
4812N,00626E,317
4847N,00529E,298
4841N,00613E,217
4835N,00558E,350
4833N,00738E,154
4755N,00724E,217
4748N,00422W,22
4758N,00410W,94
4739N,00330W,54
4746N,00327W,44
4718N,00313W,43
4738N,00245W,11
4719N,00210W,4
4710N,00136W,27
4730N,00034W,58
4756N,00012E,52
4727N,00043E,112
4719N,00141E,86
4759N,00145E,125
4704N,00222E,166
4703N,00239E,179
4700N,00306E,181
4748N,00333E,212
4704N,00356E,605
4751N,00433E,264
4716N,00505E,227
4750N,00519E,462
4720N,00531E,208
4715N,00559E,309
4747N,00621E,273
4738N,00652E,423
4742N,00633E,317
4736N,00731E,271
4642N,00220W,48
4642N,00123W,91
4615N,00134W,10
4602N,00125W,22
4609N,00109W,10
4619N,00024W,61
4635N,00019E,120
4651N,00143E,157
0000N,00000E,551
4613N,00222E,415
4610N,00324E,251
4625N,00401E,244
4639N,00426E,603
4618N,00448E,217
4641N,00531E,280
4634N,00602E,928
4654N,00620E,817
4542N,00114W,7
4540N,00019W,31
4544N,00013E,133
4512N,00049E,97
4552N,00111E,402
4509N,00128E,117
4547N,00310E,330
4505N,00346E,833
4532N,00418E,402
4556N,00423E,730
4543N,00457E,201
4544N,00505E,240
4559N,00520E,257
4522N,00520E,386
4539N,00553E,239
4556N,00606E,463
4552N,00637E,950
4513N,00643E,1104
4537N,00646E,868
4438N,00115W,10
4432N,00108W,33
4426N,00115W,39
4450N,00042W,61
4411N,00017W,133
4411N,00036E,60
4449N,00031E,52
4445N,00124E,264
4421N,00129E,278
4454N,00225E,639
4424N,00229E,580
4432N,00327E,934
4411N,00231E,1020
4407N,00301E,720
4407N,00335E,1565
4430N,00332E,1024
4435N,00444E,74
4408N,00450E,55
4405N,00503E,105
4441N,00543E,1038
4404N,00600E,461
4434N,00605E,733
4434N,00630E,876
4455N,00639E,1336
4324N,00141E,47
4328N,00132W,71
4341N,00104W,32
4355N,00030W,63
4323N,00025W,185
4311N,00000W,363
4341N,00036E,128
4300N,00106E,412
4327N,00116E,189
4338N,00122E,153
4332N,00122E,166
4355N,00207E,178
4313N,00219E,130
4324N,00341E,81
4319N,00321E,17
4335N,00358E,6
4352N,00424E,62
4345N,00425E,96
4331N,00456E,24
4336N,00506E,60
4330N,00522E,111
4327N,00514E,36
4316N,00518E,73
4320N,00503E,35
4311N,00535E,332
4403N,00529E,837
4306N,00556E,27
4305N,00556E,136
