Latitude,Longitude,Distance
83.1,-45.62,0.157226
83.1,-44.02,0.255175
83.1,-43.98,0.024999
83.1,-43.94,0.30549
83.1,-43.9,0.0121291
83.1,-43.02,0.420905
83.1,-42.98,0.101864
83.1,-42.94,0.283787
83.1,-42.9,0.176317
83.1,-42.38,0.273881
83.1,-42.34,0.238774
83.1,-42.18,0.28536
83.1,-42.14,0.149744
83.1,-41.66,0.196932
83.1,-41.62,0.239076
83.1,-41.5,0.413727
83.1,-41.46,0.105016
83.1,-40.42,0.280971
83.1,-40.38,0.215911
83.1,-40.34,0.225335
83.1,-40.3,0.0897765
83.1,-40.26,0.426428
83.1,-39.7,0.263343
83.1,-39.66,0.0789605
83.1,-39.62,0.420977
83.1,-34.02,0.239892
83.1,-33.98,0.277274
83.1,-33.86,0.391014
83.1,-33.82,0.0218788
83.1,-33.78,0.435009
83.1,-32.86,0.44249
83.1,-32.82,0.0891881
83.1,-32.78,0.263834
83.1,-31.78,0.357248
83.1,-31.74,0.0700147
83.1,-31.7,0.497031
83.1,-29.7,0.429251
83.1,-29.66,0.224688
83.1,-29.62,0.0197916
83.1,-29.58,0.185459
83.1,-27.58,0.406912
83.1,-27.54,0.132283
83.1,-27.5,0.142039
83.1,-27.46,0.416042
83.1,-25.82,0.0397141
83.1,-25.78,0.425965
83.06,-77.62,0.464996
83.06,-77.58,0.0709617
83.06,-69.7,0.063423
83.06,-69.66,0.423344
83.06,-69.54,0.420465
83.06,-69.5,0.00349434
83.06,-69.46,0.285533
83.06,-69.42,0.104052
83.06,-69.38,0.493378
83.06,-47.46,0.271498
83.06,-47.42,0.164403
83.06,-47.38,0.0928123
83.06,-47.34,0.0215851
83.06,-47.3,0.0492713
83.06,-47.26,0.119757
83.06,-47.22,0.189865
83.06,-47.18,0.259609
83.06,-47.14,0.328981
83.06,-47.1,0.397983
83.06,-47.06,0.466607
83.06,-46.74,0.43966
83.06,-46.7,0.032584
83.06,-46.14,0.330808
83.06,-46.1,0.120954
83.06,-42.1,0.173335
83.06,-42.06,0.208273
83.06,-41.94,0.273333
83.06,-41.9,0.165549
83.06,-41.34,0.427405
83.06,-41.3,0.229379
83.06,-41.26,0.0310051
83.06,-41.22,0.167698
83.06,-41.18,0.366767
83.06,-41.02,0.134622
83.06,-40.98,0.369776
83.06,-40.38,0.0812198
83.06,-40.34,0.457422
83.06,-39.9,0.0115298
83.06,-33.94,0.396071
83.06,-33.9,0.124228
83.06,-33.46,0.379582
83.06,-33.42,0.243718
83.06,-33.38,0.345684
83.06,-33.34,0.451256
83.06,-32.54,0.437983
83.06,-32.5,0.0691843
83.06,-32.46,0.299341
83.06,-29.5,0.466504
83.06,-29.46,0.0423222
83.06,-29.42,0.497485
83.06,-29.38,0.0732589
83.06,-29.34,0.350715
83.06,-27.9,0.490223
83.06,-27.86,0.405327
83.06,-27.82,0.474812
83.06,-25.86,0.189379
83.06,-25.82,0.287503
83.02,-77.66,0.471836
83.02,-77.62,0.0672402
83.02,-69.54,0.209699
83.02,-69.5,0.247679
83.02,-69.26,0.457658
83.02,-69.22,0.192661
83.02,-69.18,0.0720076
83.02,-69.14,0.336348
83.02,-68.94,0.248254
83.02,-68.9,0.179171
83.02,-47.62,0.386359
83.02,-47.58,0.0855512
83.02,-47.54,0.302454
83.02,-46.54,0.43427
83.02,-46.38,0.319234
83.02,-46.34,0.057692
83.02,-46.3,0.434888
83.02,-45.9,0.048361
