"Latitude","Longitude","Elevation"
5045,446,127
5125,500,60
5047,457,81
5100,504,54
5125,500,60
4954,513,461
5048,512,75
5016,515,244
5002,524,557
4954,513,461
5039,527,178
5110,528,64
4936,529,252
5056,530,63
5029,555,482
5030,606,695
5028,611,570
5003,601,454
4939,608,235
4937,613,379
4700,657,487
4649,657,491
4705,648,1019
4726,657,597
4645,716,1041
4655,730,505
4711,725,430
4700,756,1406
4715,747,416
4649,810,489
4659,823,442
4723,834,569
4729,824,866
4729,832,432
4652,838,451
4715,921,2500
4726,924,790
4708,906,423
4722,857,1144
4728,936,390
4615,608,416
4626,606,1675
4633,637,615
4620,655,381
4552,710,2460
4613,720,481
4602,719,1500
4619,729,1508
4624,737,2342
4633,759,3576
4646,739,630
4640,753,580
4615,802,2008
4624,808,1000
4635,820,2000
4639,837,2284
4631,841,1016
4628,856,552
4612,848,1648
4610,847,380
4610,853,198
4600,858,276
4551,856,353
4642,851,1180
4628,911,1638
4652,932,556
4636,936,1200
4623,940,1420
4630,951,1850
4625,949,3299
4632,953,1706
4621,1004,1078
4708,932,463
5044,136,74
5031,137,14
5008,150,77
5058,157,3
5103,220,23
5034,306,52
5013,309,77
5008,316,110
4942,-116,7
4943,-156,9
4939,-130,130
4939,-128,138
4911,-27,67
4931,4,103
4921,-46,73
4950,39,83
4922,-148,65
4923,111,157
4901,113,146
4931,-130,61
4956,106,34
4928,207,111
4915,231,88
4915,231,88
4949,312,101
4918,402,99
4909,432,199
4947,438,150
4914,540,234
4905,608,191
4859,615,264
4828,-508,32
4802,-444,86
4831,-409,115
4841,-420,22
4817,-426,82
4827,-425,103
4845,-401,37
4845,-328,89
4832,-251,136
4851,-300,36
4835,-204,59
4843,-151,41
4804,-144,37
4850,-137,42
4802,-44,101
4827,7,141
4803,123,127
4828,131,156
4846,201,168
4846,106,161
4846,212,179
4836,220,85
4844,224,96
4858,227,65
4850,220,75
4837,241,92
4849,220,77
4901,232,109
4836,-349,86
4847,411,179
4820,401,118
4838,454,140
4845,524,316
4812,626,317
4847,529,298
4841,613,217
4835,558,350
4833,738,154
4755,724,217
4748,-422,22
4758,-410,94
4739,-330,54
4746,-327,44
4718,-313,43
4738,-245,11
4719,-210,4
4710,-136,27
4730,-34,58
4756,12,52
4727,43,112
4719,141,86
4759,145,125
4704,222,166
4703,239,179
4700,306,181
4748,333,212
4704,356,605
4751,433,264
4716,505,227
4750,519,462
4720,531,208
4715,559,309
4747,621,273
4738,652,423
4742,633,317
4736,731,271
4642,-220,48
4642,-123,91
4615,-134,10
4602,-125,22
4609,-109,10
4619,-24,61
4635,19,120
4651,143,157
0,0,551
4613,222,415
4610,324,251
4625,401,244
4639,426,603
4618,448,217
4641,531,280
4634,602,928
4654,620,817
4542,-114,7
4540,-19,31
4544,13,133
4512,49,97
4552,111,402
4509,128,117
4547,310,330
4505,346,833
4532,418,402
4556,423,730
4543,457,201
4544,505,240
4559,520,257
4522,520,386
4539,553,239
4556,606,463
4552,637,950
4513,643,1104
4537,646,868
4438,-115,10
4432,-108,33
4426,-115,39
4450,-42,61
4411,-17,133
4411,36,60
4449,31,52
4445,124,264
4421,129,278
4454,225,639
4424,229,580
4432,327,934
4411,231,1020
4407,301,720
4407,335,1565
4430,332,1024
4435,444,74
4408,450,55
4405,503,105
4441,543,1038
4404,600,461
4434,605,733
4434,630,876
4455,639,1336
4324,141,47
4328,-132,71
4341,-104,32
4355,-30,63
4323,-25,185
4311,0,363
4341,36,128
4300,106,412
4327,116,189
4338,122,153
4332,122,166
4355,207,178
4313,219,130
4324,341,81
4319,321,17
4335,358,6
4352,424,62
