Latitude,Longitude,Elevation
53.42,6.12,0
52.26,6.16,5
52.44,6.31,14
53.08,6.35,4
52.04,6.39,29
53.12,7.09,0
52.16,6.54,36
51.27,3.36,10
51.32,3.54,2
51.32,3.55,1
51.59,4.06,13
51.27,4.2,17
51.53,4.19,4
51.57,4.27,4
51.34,4.56,13
51.52,5.09,1
51.27,5.25,22
51.39,5.42,21
50.48,5.43,49
50.55,5.47,116
51.3,6.12,19
51.05,2.39,9
51.24,2.26,7
51.12,2.52,5
51.14,2.55,15
50.49,3.12,25
50.56,3.44,60
51.11,3.49,13
50.34,3.5,63
50.48,4.21,104
50.54,4.3,55
50.28,4.27,192
51.12,4.28,14
50.54,4.32,58
50.54,4.3,55
51.2,4.3,23
50.14,4.39,299
50.45,4.46,127
51.25,5,60
50.47,4.57,81
51,5.04,54
51.25,5,60
49.54,5.13,461
50.48,5.12,75
50.16,5.15,244
50.02,5.24,557
49.54,5.13,461
50.39,5.27,178
51.1,5.28,64
49.36,5.29,252
50.56,5.3,63
50.29,5.55,482
50.3,6.06,695
50.28,6.11,570
50.03,6.01,454
49.39,6.08,235
49.37,6.13,379
47,6.57,487
46.49,6.57,491
47.05,6.48,1019
47.26,6.57,597
46.45,7.16,1041
46.55,7.3,505
47.11,7.25,430
47,7.56,1406
47.15,7.47,416
46.49,8.1,489
46.59,8.23,442
47.23,8.34,569
47.29,8.24,866
47.29,8.32,432
46.52,8.38,451
47.15,9.21,2500
47.26,9.24,790
47.08,9.06,423
47.22,8.57,1144
47.28,9.36,390
46.15,6.08,416
46.26,6.06,1675
46.33,6.37,615
46.2,6.55,381
45.52,7.1,2460
46.13,7.2,481
46.02,7.19,1500
46.19,7.29,1508
46.24,7.37,2342
46.33,7.59,3576
46.46,7.39,630
46.4,7.53,580
46.15,8.02,2008
46.24,8.08,1000
46.35,8.2,2000
46.39,8.37,2284
46.31,8.41,1016
46.28,8.56,552
46.12,8.48,1648
46.1,8.47,380
46.1,8.53,198
46,8.58,276
45.51,8.56,353
46.42,8.51,1180
46.28,9.11,1638
46.52,9.32,556
46.36,9.36,1200
46.23,9.4,1420
46.3,9.51,1850
46.25,9.49,3299
46.32,9.53,1706
46.21,10.04,1078
47.08,9.32,463
50.44,1.36,74
50.31,1.37,14
50.08,1.5,77
50.58,1.57,3
51.03,2.2,23
50.34,3.06,52
50.13,3.09,77
50.08,3.16,110
49.42,-1.16,7
49.43,-1.56,9
49.39,-1.3,130
49.39,-1.28,138
49.11,-0.27,67
49.31,0.04,103
49.21,-0.46,73
49.5,0.39,83
49.22,-1.48,65
49.23,1.11,157
49.01,1.13,146
49.31,-1.3,61
49.56,1.06,34
49.28,2.07,111
49.15,2.31,88
49.15,2.31,88
49.49,3.12,101
49.18,4.02,99
49.09,4.32,199
49.47,4.38,150
49.14,5.4,234
49.05,6.08,191
48.59,6.15,264
48.28,-5.08,32
48.02,-4.44,86
48.31,-4.09,115
48.41,-4.2,22
48.17,-4.26,82
48.27,-4.25,103
48.45,-4.01,37
48.45,-3.28,89
48.32,-2.51,136
