Latitude,Longitude,Distance,Direction
59.11,9.34,13.747799853408818,94.53628122862642
58.52,9.36,18.7328025884043,306.5225846026491
59.4,9.39,35.063812894857875,161.97538537227422
59.02,10.32,4.592578202533025,345.5836684951628
59.12,10.16,4.083829204599931,122.96899361812046
59.19,10.27,5.196913716387694,50.0370338837314
59.54,10.37,0.5636879008355345,89.99569008362772
59.59,10.41,1.2463253616088898,153.1444390594561
59.23,10.47,1.2490532396755183,207.10167016296373
59.48,11.28,33.83723696673938,189.69278406875375
59.0,11.32,10.425147700729505,309.84895427851933
59.58,12.13,69.8071888326365,230.8302898269522
67.44,17.28,53.61821503683203,322.36310171524826
68.25,18.1,21.31649498116726,332.5832228651554
68.13,19.43,72.21592847902187,297.24791507648945
67.56,21.04,163.38734599328998,307.2819344745226
67.49,20.2,142.21924356807074,317.71843833265376
67.5,20.26,143.1376532926432,316.7180902255443
67.09,20.5,159.2809165871088,148.3122766051622
68.41,21.32,112.61172935528205,332.1162728402818
67.46,22.21,174.3994128191102,173.87174071764832
67.13,23.24,139.1620585206547,190.90889448133314
65.49,15.06,91.72875559009363,322.5549033023758
65.04,14.48,77.50007078604078,292.6001386962219
